Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 49,488.559565,202.091825,,,,,,,,,,,
Block 49,499.764912,200.125203,,,,,,,,,,,
Block 49,494.258412,170.634892,,,,,,,,,,,
Block 49,483.694762,172.488891,,,,,,,,,,,
Block 50,494.258412,170.634892,,,,,,,,,0.000000,0.000000,No
Block 50,499.764912,200.125203,,,,,,,,,,,
Block 50,510.924910,197.915715,,,,,,,,,,,
Block 50,504.779311,168.551935,,,,,,,,,,,
Block 50,494.258412,170.634892,,,,,,,,,,,
Block 51,504.779311,168.551935,,,,,,,,,0.000000,0.000000,No
Block 51,510.924910,197.915715,,,,,,,,,,,
Block 51,522.034297,195.464403,,,,,,,,,,,
Block 51,515.252496,166.241002,,,,,,,,,,,
Block 51,504.779311,168.551935,,,,,,,,,,,
Block 52,515.252496,166.241002,,,,,,,,,0.000000,0.000000,No
Block 52,522.034297,195.464403,,,,,,,,,,,
Block 52,533.087832,192.772422,,,,,,,,,,,
Block 52,525.673028,163.703183,,,,,,,,,,,
Block 52,515.252496,166.241002,,,,,,,,,,,
Block 53,525.673028,163.703183,,,,,,,,,0.000000,0.000000,No
Block 53,533.087832,192.772422,,,,,,,,,,,
Block 53,544.080302,189.841043,,,,,,,,,,,
Block 53,536.035993,160.939675,,,,,,,,,,,
Block 53,525.673028,163.703183,,,,,,,,,,,
Block 54,536.035993,160.939675,,,,,,,,,0.000000,0.000000,No
Block 54,544.080302,189.841043,,,,,,,,,,,
Block 54,555.006524,186.671648,,,,,,,,,,,
Block 54,546.336503,157.951781,,,,,,,,,,,
Block 54,536.035993,160.939675,,,,,,,,,,,
Block 55,546.336503,157.951781,,,,,,,,,0.000000,0.000000,No
Block 55,555.006524,186.671648,,,,,,,,,,,
Block 55,565.861345,183.265731,,,,,,,,,,,
Block 55,556.569701,154.740911,,,,,,,,,,,
Block 55,546.336503,157.951781,,,,,,,,,,,
Block 56,556.569701,154.740911,,,,,,,,,0.000000,0.000000,No
Block 56,565.861345,183.265731,,,,,,,,,,,
Block 56,576.639644,179.624899,,,,,,,,,,,
Block 56,566.730759,151.308578,,,,,,,,,,,
Block 56,556.569701,154.740911,,,,,,,,,,,
Block 57,566.730759,151.308578,,,,,,,,,0.000000,0.000000,No
Block 57,576.639644,179.624899,,,,,,,,,,,
Block 57,587.336339,175.750869,,,,,,,,,,,
Block 57,576.814887,147.656402,,,,,,,,,,,
Block 57,566.730759,151.308578,,,,,,,,,,,
Block 58,576.814887,147.656402,,,,,,,,,0.000000,0.000000,No
Block 58,587.336339,175.750869,,,,,,,,,,,
Block 58,597.946385,171.645468,,,,,,,,,,,
Block 58,586.817328,143.786105,,,,,,,,,,,
Block 58,576.814887,147.656402,,,,,,,,,,,
Block 59,586.817328,143.786105,,,,,,,,,0.000000,0.000000,No
Block 59,597.946385,171.645468,,,,,,,,,,,
Block 59,608.464778,167.310632,,,,,,,,,,,
Block 59,596.733364,139.699512,,,,,,,,,,,
Block 59,586.817328,143.786105,,,,,,,,,,,
Block 60,596.733364,139.699512,,,,,,,,,0.000000,0.000000,No
Block 60,608.464778,167.310632,,,,,,,,,,,
Block 60,618.886558,162.748406,,,,,,,,,,,
Block 60,606.558320,135.398551,,,,,,,,,,,
Block 60,596.733364,139.699512,,,,,,,,,,,
Block 61,606.558320,135.398551,,,,,,,,,0.000000,0.000000,No
Block 61,618.886558,162.748406,,,,,,,,,,,
Block 61,629.206809,157.960941,,,,,,,,,,,
Block 61,616.287561,130.885250,,,,,,,,,,,
Block 61,606.558320,135.398551,,,,,,,,,,,
Block 62,616.287561,130.885250,,,,,,,,,0.000000,0.000000,No
Block 62,629.206809,157.960941,,,,,,,,,,,
Block 62,639.420663,152.950495,,,,,,,,,,,
Block 62,625.916499,126.161737,,,,,,,,,,,
Block 62,616.287561,130.885250,,,,,,,,,,,
Block 63,625.916499,126.161737,,,,,,,,,0.000000,0.000000,No
Block 63,639.420663,152.950495,,,,,,,,,,,
Block 63,649.523305,147.719431,,,,,,,,,,,
Block 63,635.440592,121.230241,,,,,,,,,,,
Block 63,625.916499,126.161737,,,,,,,,,,,
