Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 71,719.156185,82.497624,,,,,,,,,,,
Block 71,727.972976,75.307937,,,,,,,,,,,
Block 71,708.762521,52.265402,,,,,,,,,,,
Block 71,700.450641,59.043357,,,,,,,,,,,
Block 72,708.762521,52.265402,,,,,,,,,0.000000,0.000000,No
Block 72,727.972976,75.307937,,,,,,,,,,,
Block 72,736.631560,67.928485,,,,,,,,,,,
Block 72,716.925254,45.308549,,,,,,,,,,,
Block 72,708.762521,52.265402,,,,,,,,,,,
Block 73,716.925254,45.308549,,,,,,,,,0.000000,0.000000,No
Block 73,736.631560,67.928485,,,,,,,,,,,
Block 73,745.127853,60.362747,,,,,,,,,,,
Block 73,724.934990,38.176077,,,,,,,,,,,
Block 73,716.925254,45.308549,,,,,,,,,,,
Block 74,724.934990,38.176077,,,,,,,,,0.000000,0.000000,No
Block 74,745.127853,60.362747,,,,,,,,,,,
Block 74,753.457849,52.614291,,,,,,,,,,,
Block 74,732.787952,30.871353,,,,,,,,,,,
Block 74,724.934990,38.176077,,,,,,,,,,,
Block 75,732.787952,30.871353,,,,,,,,,0.000000,0.000000,No
Block 75,753.457849,52.614291,,,,,,,,,,,
Block 75,761.617619,44.686772,,,,,,,,,,,
Block 75,740.480437,23.397819,,,,,,,,,,,
Block 75,732.787952,30.871353,,,,,,,,,,,
Block 76,740.480437,23.397819,,,,,,,,,0.000000,0.000000,No
Block 76,761.617619,44.686772,,,,,,,,,,,
Block 76,769.603314,36.583929,,,,,,,,,,,
Block 76,748.008815,15.759001,,,,,,,,,,,
Block 76,740.480437,23.397819,,,,,,,,,,,
Block 77,748.008815,15.759001,,,,,,,,,0.000000,0.000000,No
Block 77,769.603314,36.583929,,,,,,,,,,,
Block 77,777.411168,28.309583,,,,,,,,,,,
Block 77,755.369537,7.958502,,,,,,,,,,,
Block 77,748.008815,15.759001,,,,,,,,,,,
Block 78,755.369537,7.958502,,,,,,,,,0.000000,0.000000,No
Block 78,777.411168,28.309583,,,,,,,,,,,
Block 78,785.037500,19.867636,,,,,,,,,,,
Block 78,762.559131,0.000000,,,,,,,,,,,
Block 78,755.369537,7.958502,,,,,,,,,,,
